actor_first_name,actor_last_name,actor_gender,actor_role,movie_name,movie_year,movie_genre,direcor_first_name,director_last_name
Ann,Bormann,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Julie,Croft,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Julie,Croft,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Penny,Francis,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Penny,Francis,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Jane,Hayward,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Jane,Hayward,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Marcella,Markham,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Marcella,Markham,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Kim,Neil,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Kim,Neil,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Jane,Pearl,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Jane,Pearl,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Penny,Pearl,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Penny,Pearl,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
John (III),Ashley,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
John (III),Ashley,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Jimmy,Bell,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Jimmy,Bell,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
David,Charkham,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
David,Charkham,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Simon (I),Davis,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Simon (I),Davis,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Jonathan,Daw,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Jonathan,Daw,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Péter,Delmár,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Péter,Delmár,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Terry (I),Duggan,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Terry (I),Duggan,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
David (II),Fleetwood,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
David (II),Fleetwood,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Danny,Grover,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Danny,Grover,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Brian (I),Hawley,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Brian (I),Hawley,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
David (I),Hines,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
David (I),Hines,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Tony (I),Jackson,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Tony (I),Jackson,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
John (X),Jordan,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
John (X),Jordan,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Mike,Lovell,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Mike,Lovell,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Scott,MacKee,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Scott,MacKee,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Laurence,Marchant,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Laurence,Marchant,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Darryl,Paes,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Darryl,Paes,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Joe,Refalo,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Joe,Refalo,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Andy (I),Wallace,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Andy (I),Wallace,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Bob,Wilyman,M,Ape,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Bob,Wilyman,M,Ape,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Richard (II),Woods,M,Ape that gets killed,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Richard (II),Woods,M,Ape that gets killed,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Ed (I),Bishop,M,Aries 1B Lunar shuttle captai,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Ed (I),Bishop,M,Aries 1B Lunar shuttle captai,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Glenn,Beck,M,Astronaut,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Glenn,Beck,M,Astronaut,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Bill (I),Weston,M,Astronaut,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Bill (I),Weston,M,Astronaut,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Kenneth,Kendall,M,BBC-12 announcer,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Kenneth,Kendall,M,BBC-12 announcer,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Leonard,Rossiter,M,Dr. Andrei Smyslov,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Leonard,Rossiter,M,Dr. Andrei Smyslov,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Sean (I),Sullivan,M,Dr. Bill Michaels,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Sean (I),Sullivan,M,Dr. Bill Michaels,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Keir,Dullea,M,Dr. Dave Bowman,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Keir,Dullea,M,Dr. Dave Bowman,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Gary,Lockwood,M,Dr. Frank Poole,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Gary,Lockwood,M,Dr. Frank Poole,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
William,Sylvester,M,Dr. Heywood R. Floyd,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
William,Sylvester,M,Dr. Heywood R. Floyd,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Robert (I),Beatty,M,Dr. Rolf Halvorsen,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Robert (I),Beatty,M,Dr. Rolf Halvorsen,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Margaret,Tyzack,F,Elena,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Margaret,Tyzack,F,Elena,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Douglas,Rain,M,HAL 9000,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Douglas,Rain,M,HAL 9000,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Martin,Amor,M,Interviewer,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Martin,Amor,M,Interviewer,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Kevin (I),Scott,M,Miller,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Kevin (I),Scott,M,Miller,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Frank (I),Miller,M,Mission controller,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Frank (I),Miller,M,Mission controller,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Daniel (I),Richter,M,Moonwatcher,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Daniel (I),Richter,M,Moonwatcher,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Alan,Gifford,M,Poole's father,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Alan,Gifford,M,Poole's father,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Ann (I),Gillis,F,Poole's mother,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Ann (I),Gillis,F,Poole's mother,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Krystyna,Marr,F,Russian scientist,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Krystyna,Marr,F,Russian scientist,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Vivian,Kubrick,F,Squirt (Floyd's daughter),2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Vivian,Kubrick,F,Squirt (Floyd's daughter),2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Penny,Brahms,F,Stewardess,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Penny,Brahms,F,Stewardess,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Edwina,Carroll,F,Stewardess,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Edwina,Carroll,F,Stewardess,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Heather,Downham,F,Stewardess,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Heather,Downham,F,Stewardess,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Burnell,Tucker,M,TMA-1 site photographer,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Burnell,Tucker,M,TMA-1 site photographer,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
John,Swindells,M,TMA-1 site technician #1,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
John,Swindells,M,TMA-1 site technician #1,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
John (I),Clifford,M,TMA-1 site technician #2,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
John (I),Clifford,M,TMA-1 site technician #2,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Julian,Brewster,M,,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Julian,Brewster,M,,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Julian,Brewster,M,,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Aimee J.,Nelson,F,,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Aimee J.,Nelson,F,,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Aimee J.,Nelson,F,,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Chelsey,Earlywine,F,Amanda Morgan-Green,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Chelsey,Earlywine,F,Amanda Morgan-Green,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Chelsey,Earlywine,F,Amanda Morgan-Green,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Travis,McKenna,M,Buelow,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Travis,McKenna,M,Buelow,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Travis,McKenna,M,Buelow,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Kirk,Baily,M,Carl,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Kirk,Baily,M,Carl,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Kirk,Baily,M,Carl,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Michael,O'Laskey II,M,Colt Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Michael,O'Laskey II,M,Colt Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Michael,O'Laskey II,M,Colt Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Hulk,Hogan,M,Dave Dragon,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Hulk,Hogan,M,Dave Dragon,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Hulk,Hogan,M,Dave Dragon,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Joseph,Ackler,M,Doyle,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Joseph,Ackler,M,Doyle,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Joseph,Ackler,M,Doyle,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Victor (III),Wong,M,Grandpa Mori,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Victor (III),Wong,M,Grandpa Mori,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Victor (III),Wong,M,Grandpa Mori,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Pat,Mahoney,M,Harry Jacobson,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Pat,Mahoney,M,Harry Jacobson,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Pat,Mahoney,M,Harry Jacobson,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Lindsay,Felton,F,Jennifer,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Lindsay,Felton,F,Jennifer,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Lindsay,Felton,F,Jennifer,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Syntrell,Ryder,F,Jennifer's Friend,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Syntrell,Ryder,F,Jennifer's Friend,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Syntrell,Ryder,F,Jennifer's Friend,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Margarita,Franco,F,Jessica,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Margarita,Franco,F,Jessica,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Margarita,Franco,F,Jessica,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Anthony,Fiorino,M,Lars,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Anthony,Fiorino,M,Lars,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Anthony,Fiorino,M,Lars,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Emily,Roeske,F,Little Karate Girl,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Emily,Roeske,F,Little Karate Girl,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Emily,Roeske,F,Little Karate Girl,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Mark (II),Swanson,M,Little Willy,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Mark (II),Swanson,M,Little Willy,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Mark (II),Swanson,M,Little Willy,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Jim,Varney,M,Lothar Zogg,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Jim,Varney,M,Lothar Zogg,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Jim,Varney,M,Lothar Zogg,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Loni,Anderson,F,Medusa,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Loni,Anderson,F,Medusa,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Loni,Anderson,F,Medusa,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Walter,Newton,M,Moving Man,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Walter,Newton,M,Moving Man,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Walter,Newton,M,Moving Man,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Mathew,Botuchis,M,Rocky Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Mathew,Botuchis,M,Rocky Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Mathew,Botuchis,M,Rocky Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Alan,McRae,M,Sam Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Alan,McRae,M,Sam Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Alan,McRae,M,Sam Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Denis,Berkfeldt,M,Smithers,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Denis,Berkfeldt,M,Smithers,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Denis,Berkfeldt,M,Smithers,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Jeffrey,Krebs,M,Softball Attendant,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Jeffrey,Krebs,M,Softball Attendant,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Jeffrey,Krebs,M,Softball Attendant,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Greg,Backstrom,M,Teen #1,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Greg,Backstrom,M,Teen #1,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Greg,Backstrom,M,Teen #1,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
James Paul,Roeske II,M,Tum Tum Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
James Paul,Roeske II,M,Tum Tum Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
James Paul,Roeske II,M,Tum Tum Douglas,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Brendan (II),O'Brien,M,Zed,3 Ninjas: High Noon at Mega Mountain,1998,Action,Sean (I),McNamara
Brendan (II),O'Brien,M,Zed,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,Sean (I),McNamara
Brendan (II),O'Brien,M,Zed,3 Ninjas: High Noon at Mega Mountain,1998,Family,Sean (I),McNamara
Bolaji,Badejo,M,Alien,Alien,1979,Horror,Ridley,Scott
Bolaji,Badejo,M,Alien,Alien,1979,Sci-Fi,Ridley,Scott
Bolaji,Badejo,M,Alien,Alien,1979,Thriller,Ridley,Scott
Eddie,Powell,M,Alien,Alien,1979,Horror,Ridley,Scott
Eddie,Powell,M,Alien,Alien,1979,Sci-Fi,Ridley,Scott
Eddie,Powell,M,Alien,Alien,1979,Thriller,Ridley,Scott
Ian,Holm,M,Ash,Alien,1979,Horror,Ridley,Scott
Ian,Holm,M,Ash,Alien,1979,Sci-Fi,Ridley,Scott
Ian,Holm,M,Ash,Alien,1979,Thriller,Ridley,Scott
Harry Dean,Stanton,M,Brett,Alien,1979,Horror,Ridley,Scott
Harry Dean,Stanton,M,Brett,Alien,1979,Sci-Fi,Ridley,Scott
Harry Dean,Stanton,M,Brett,Alien,1979,Thriller,Ridley,Scott
Tom,Skerritt,M,Dallas,Alien,1979,Horror,Ridley,Scott
Tom,Skerritt,M,Dallas,Alien,1979,Sci-Fi,Ridley,Scott
Tom,Skerritt,M,Dallas,Alien,1979,Thriller,Ridley,Scott
John,Hurt,M,Kane,Alien,1979,Horror,Ridley,Scott
John,Hurt,M,Kane,Alien,1979,Sci-Fi,Ridley,Scott
John,Hurt,M,Kane,Alien,1979,Thriller,Ridley,Scott
Veronica,Cartwright,F,Lambert,Alien,1979,Horror,Ridley,Scott
Veronica,Cartwright,F,Lambert,Alien,1979,Sci-Fi,Ridley,Scott
Veronica,Cartwright,F,Lambert,Alien,1979,Thriller,Ridley,Scott
Helen,Horton,F,Mother,Alien,1979,Horror,Ridley,Scott
Helen,Horton,F,Mother,Alien,1979,Sci-Fi,Ridley,Scott
Helen,Horton,F,Mother,Alien,1979,Thriller,Ridley,Scott
Yaphet,Kotto,M,Parker,Alien,1979,Horror,Ridley,Scott
Yaphet,Kotto,M,Parker,Alien,1979,Sci-Fi,Ridley,Scott
Yaphet,Kotto,M,Parker,Alien,1979,Thriller,Ridley,Scott
Sigourney,Weaver,F,Ripley,Alien,1979,Horror,Ridley,Scott
Sigourney,Weaver,F,Ripley,Alien,1979,Sci-Fi,Ridley,Scott
Sigourney,Weaver,F,Ripley,Alien,1979,Thriller,Ridley,Scott
Mac (I),McDonald,M,"Al Simpson, Colony Officer",Aliens,1986,Action,James (I),Cameron
Mac (I),McDonald,M,"Al Simpson, Colony Officer",Aliens,1986,Horror,James (I),Cameron
Mac (I),McDonald,M,"Al Simpson, Colony Officer",Aliens,1986,Sci-Fi,James (I),Cameron
Mac (I),McDonald,M,"Al Simpson, Colony Officer",Aliens,1986,Thriller,James (I),Cameron
Carl,Toop,M,Alien Warrior,Aliens,1986,Action,James (I),Cameron
Carl,Toop,M,Alien Warrior,Aliens,1986,Horror,James (I),Cameron
Carl,Toop,M,Alien Warrior,Aliens,1986,Sci-Fi,James (I),Cameron
Carl,Toop,M,Alien Warrior,Aliens,1986,Thriller,James (I),Cameron
Elizabeth,Inglis,F,Amanda Ripley,Aliens,1986,Action,James (I),Cameron
Elizabeth,Inglis,F,Amanda Ripley,Aliens,1986,Horror,James (I),Cameron
Elizabeth,Inglis,F,Amanda Ripley,Aliens,1986,Sci-Fi,James (I),Cameron
Elizabeth,Inglis,F,Amanda Ripley,Aliens,1986,Thriller,James (I),Cameron
Holly,De Jong,F,Ann Jorden,Aliens,1986,Action,James (I),Cameron
Holly,De Jong,F,Ann Jorden,Aliens,1986,Horror,James (I),Cameron
Holly,De Jong,F,Ann Jorden,Aliens,1986,Sci-Fi,James (I),Cameron
Holly,De Jong,F,Ann Jorden,Aliens,1986,Thriller,James (I),Cameron
Lance,Henriksen,M,Bishop,Aliens,1986,Action,James (I),Cameron
Lance,Henriksen,M,Bishop,Aliens,1986,Horror,James (I),Cameron
Lance,Henriksen,M,Bishop,Aliens,1986,Sci-Fi,James (I),Cameron
Lance,Henriksen,M,Bishop,Aliens,1986,Thriller,James (I),Cameron
Paul,Reiser,M,Carter Burke,Aliens,1986,Action,James (I),Cameron
Paul,Reiser,M,Carter Burke,Aliens,1986,Horror,James (I),Cameron
Paul,Reiser,M,Carter Burke,Aliens,1986,Sci-Fi,James (I),Cameron
Paul,Reiser,M,Carter Burke,Aliens,1986,Thriller,James (I),Cameron
Barbara,Coles,F,Cocooned Woman,Aliens,1986,Action,James (I),Cameron
Barbara,Coles,F,Cocooned Woman,Aliens,1986,Horror,James (I),Cameron
Barbara,Coles,F,Cocooned Woman,Aliens,1986,Sci-Fi,James (I),Cameron
Barbara,Coles,F,Cocooned Woman,Aliens,1986,Thriller,James (I),Cameron
Cynthia Dale,Scott,F,Cpl. Dietrich,Aliens,1986,Action,James (I),Cameron
Cynthia Dale,Scott,F,Cpl. Dietrich,Aliens,1986,Horror,James (I),Cameron
